_id,userId,likedPlaces,dislikedPlaces
ObjectId(5c1182b2bd04df0b9da103c9),ObjectId(5bf86ea96af8ef79fcd179d9),"[{""_id"":{""$oid"":""5c1182b2adbaa3202c39cf4b""},""dateAdded"":{""$date"":""2018-12-12T21:50:42.445Z""},""placeId"":{""$oid"":""5a7c693514f4ba437b873125""}}]",
ObjectId(5c14f09cbd04df0b9d08b911),ObjectId(5c14eefdadbaa3202c39d005),"[{""_id"":{""$oid"":""5c14f09cadbaa3202c39d008""},""dateAdded"":{""$date"":""2018-12-15T12:16:28.725Z""},""placeId"":{""$oid"":""5a7c662a14f4ba437b872c6a""}}]",
ObjectId(5c160252bd04df0b9d757949),ObjectId(5ba3ddc720f32e076ce35ca4),[],
ObjectId(5c165301bd04df0b9d9581b5),ObjectId(5c16524cadbaa3202c39d051),"[{""_id"":{""$oid"":""5c165301adbaa3202c39d054""},""dateAdded"":{""$date"":""2018-12-16T13:28:33.736Z""},""placeId"":{""$oid"":""5a7c631714f4ba437b872790""}},{""_id"":{""$oid"":""5c165308adbaa3202c39d055""},""dateAdded"":{""$date"":""2018-12-16T13:28:40.254Z""},""placeId"":{""$oid"":""5a7c652a14f4ba437b872ad3""}},{""_id"":{""$oid"":""5c165310adbaa3202c39d056""},""dateAdded"":{""$date"":""2018-12-16T13:28:48.623Z""},""placeId"":{""$oid"":""5a7c64f514f4ba437b872a82""}},{""_id"":{""$oid"":""5c165312adbaa3202c39d057""},""dateAdded"":{""$date"":""2018-12-16T13:28:50.481Z""},""placeId"":{""$oid"":""5a7c64f614f4ba437b872a84""}}]",
ObjectId(5c178fddbd04df0b9d13ba7d),ObjectId(5c131024adbaa3202c39cfa6),"[{""_id"":{""$oid"":""5c178fddadbaa3202c39d077""},""dateAdded"":{""$date"":""2018-12-17T12:00:29.643Z""},""placeId"":{""$oid"":""5a7c656e14f4ba437b872b40""}}]",
ObjectId(5c179d6cbd04df0b9d18fd3e),ObjectId(5c179d24eaeeb7aae34e5218),"[{""_id"":{""$oid"":""5c179d6ceaeeb7aae34e521c""},""dateAdded"":{""$date"":""2018-12-17T12:58:20.594Z""},""placeId"":{""$oid"":""5a7c635614f4ba437b8727f9""}}]",
ObjectId(5c179e70bd04df0b9d197521),ObjectId(5c179e4ceaeeb7aae34e521e),"[{""_id"":{""$oid"":""5c179e70eaeeb7aae34e5221""},""dateAdded"":{""$date"":""2018-12-17T13:02:40.932Z""},""placeId"":{""$oid"":""5a7c629f14f4ba437b8726ce""}}]",
ObjectId(5c180959bd04df0b9d4647d9),ObjectId(5bceedd560da992c5d62e984),"[{""_id"":{""$oid"":""5c18095dadbaa3202c39d087""},""dateAdded"":{""$date"":""2018-12-17T20:38:53.231Z""},""placeId"":{""$oid"":""5a7c638814f4ba437b872847""}}]",
ObjectId(5c1a2e83bd04df0b9d1b1715),ObjectId(5c1a2dfeadbaa3202c39d0b9),,"[{""_id"":{""$oid"":""5c1a2e83adbaa3202c39d0bc""},""dateAdded"":{""$date"":""2018-12-19T11:41:55.207Z""},""placeId"":{""$oid"":""5a7c680314f4ba437b872f4e""}},{""_id"":{""$oid"":""5c1a2e97adbaa3202c39d0bd""},""dateAdded"":{""$date"":""2018-12-19T11:42:15.947Z""},""placeId"":{""$oid"":""5a7c6ab014f4ba437b87338e""}},{""_id"":{""$oid"":""5c1a2ea7adbaa3202c39d0be""},""dateAdded"":{""$date"":""2018-12-19T11:42:31.866Z""},""placeId"":{""$oid"":""5a7c68fa14f4ba437b8730cc""}}]"
ObjectId(5c1bebbbbd04df0b9d90de0e),ObjectId(5c1841aeadbaa3202c39d08a),"[{""_id"":{""$oid"":""5c242e3cadbaa3202c39d1ba""},""dateAdded"":{""$date"":""2018-12-27T01:43:24.604Z""},""placeId"":{""$oid"":""5a7c663f14f4ba437b872c88""}}]","[{""_id"":{""$oid"":""5c1bebbbadbaa3202c39d0ed""},""dateAdded"":{""$date"":""2018-12-20T19:21:31.002Z""},""placeId"":{""$oid"":""5a7c66ef14f4ba437b872d9f""}}]"
